RESUMO DOS RESULTADOS;;;;;;;;
;;;;;;;;
Estatística de regressão;;;;;;;;
R múltiplo;0,810222469;;;;;;;
R-Quadrado;0,656460449;;;;;;;
R-quadrado ajustado;0,656306476;;;;;;;
Erro padrão;0,375670751;;;;;;;
Observações;13394;;;;;;;
;;;;;;;;
ANOVA;;;;;;;;
;gl;SQ;MQ;F;F de significação;;;
Regressão;6;3610,18826;601,6980433;4263,476113;0;;;
Resíduo;13387;1889,287401;0,141128513;;;;;
Total;13393;5499,475661;;;;;;
;;;;;;;;
;Coeficientes;Erro padrão;Stat t;valor-P;95% inferiores;95% superiores;Inferior 95,0%;Superior 95,0%
Interseção;9,859622356;0,003430022;2874,506619;0,00%;9,852899028;9,866345685;9,852899028;9,866345685
Flag Atraso Cliente5_soma;-0,062604937;0,007846827;-7,978376596;0,00%;-0,077985825;-0,047224049;-0,077985825;-0,047224049
[FLAG] Pratica_indevida_soma;-5,757122673;0,08896077;-64,71529748;0,00%;-5,931498343;-5,582747002;-5,931498343;-5,582747002
[FLAG] Sac_pos_entrega_soma;-0,435730615;0,028011245;-15,55556017;0,00%;-0,490636611;-0,380824618;-0,490636611;-0,380824618
[FLAG] Reversa_soma;-3,256336459;0,047674276;-68,30384745;0,00%;-3,349784772;-3,162888147;-3,349784772;-3,162888147
[FLAG] Recompra_soma;-1,925591311;0,0252804;-76,1693359;0,00%;-1,975144465;-1,876038156;-1,975144465;-1,876038156
[FLAG] Insucesso_soma;-0,018849438;0,009593672;-1,964778317;4,95%;-0,037654389;-4,44869E-05;-0,037654389;-4,44869E-05
;;;;;;;;
;;;;;;;;
;;;;;;;;
RESULTADOS DE RESÍDUOS;;;;;;;;
;;;;;;;;
244;9,859622356;0,140377644;0,373755738;;;;;
245;9,859622356;0,140377644;0,373755738;;;;;
246;9,859622356;0,140377644;0,373755738;;;;;
247;9,859622356;0,140377644;0,373755738;;;;;
248;9,859622356;0,140377644;0,373755738;;;;;
249;9,859622356;0,140377644;0,373755738;;;;;
250;9,859622356;0,140377644;0,373755738;;;;;
251;9,859622356;0,140377644;0,373755738;;;;;
252;9,859622356;0,140377644;0,373755738;;;;;
253;9,859622356;0,140377644;0,373755738;;;;;
254;9,859622356;0,140377644;0,373755738;;;;;
255;9,859622356;0,140377644;0,373755738;;;;;
256;9,859622356;0,140377644;0,373755738;;;;;
257;9,859622356;0,140377644;0,373755738;;;;;
258;9,859622356;0,140377644;0,373755738;;;;;
259;9,859622356;0,140377644;0,373755738;;;;;
260;9,859622356;0,140377644;0,373755738;;;;;
261;9,859622356;0,140377644;0,373755738;;;;;
262;9,859622356;0,140377644;0,373755738;;;;;
263;9,859622356;0,140377644;0,373755738;;;;;
264;9,859622356;0,140377644;0,373755738;;;;;
265;9,859622356;0,140377644;0,373755738;;;;;
266;9,859622356;0,140377644;0,373755738;;;;;
267;9,859622356;0,140377644;0,373755738;;;;;
268;9,859622356;0,140377644;0,373755738;;;;;
269;9,859622356;0,140377644;0,373755738;;;;;
270;9,859622356;0,140377644;0,373755738;;;;;
271;9,859622356;0,140377644;0,373755738;;;;;
272;9,859622356;0,140377644;0,373755738;;;;;
273;9,859622356;0,140377644;0,373755738;;;;;
274;9,859622356;0,140377644;0,373755738;;;;;
275;9,859622356;0,140377644;0,373755738;;;;;
276;9,859622356;0,140377644;0,373755738;;;;;
277;9,859622356;0,140377644;0,373755738;;;;;
278;9,859622356;0,140377644;0,373755738;;;;;
279;9,859622356;0,140377644;0,373755738;;;;;
280;9,859622356;0,140377644;0,373755738;;;;;
281;9,859622356;0,140377644;0,373755738;;;;;
282;9,859622356;0,140377644;0,373755738;;;;;
283;9,859622356;0,140377644;0,373755738;;;;;
284;9,859622356;0,140377644;0,373755738;;;;;
285;9,859622356;0,140377644;0,373755738;;;;;
286;9,859622356;0,140377644;0,373755738;;;;;
287;9,859622356;0,140377644;0,373755738;;;;;
288;9,859622356;0,140377644;0,373755738;;;;;
289;9,859622356;0,140377644;0,373755738;;;;;
290;9,859622356;0,140377644;0,373755738;;;;;
291;9,859622356;0,140377644;0,373755738;;;;;
292;9,859622356;0,140377644;0,373755738;;;;;
293;9,859622356;0,140377644;0,373755738;;;;;
294;9,859622356;0,140377644;0,373755738;;;;;
295;9,859622356;0,140377644;0,373755738;;;;;
296;9,859622356;0,140377644;0,373755738;;;;;
297;9,859622356;0,140377644;0,373755738;;;;;
298;9,859622356;0,140377644;0,373755738;;;;;
299;9,859622356;0,140377644;0,373755738;;;;;
300;9,859622356;0,140377644;0,373755738;;;;;
301;9,859622356;0,140377644;0,373755738;;;;;
302;9,859622356;0,140377644;0,373755738;;;;;
303;9,859622356;0,140377644;0,373755738;;;;;
304;9,859622356;0,140377644;0,373755738;;;;;
305;9,859622356;0,140377644;0,373755738;;;;;
306;9,859622356;0,140377644;0,373755738;;;;;
307;9,859622356;0,140377644;0,373755738;;;;;
308;9,859622356;0,140377644;0,373755738;;;;;
309;9,859622356;0,140377644;0,373755738;;;;;
310;9,859622356;0,140377644;0,373755738;;;;;
311;9,859622356;0,140377644;0,373755738;;;;;
312;9,859622356;0,140377644;0,373755738;;;;;
313;9,859622356;0,140377644;0,373755738;;;;;
314;9,859622356;0,140377644;0,373755738;;;;;
315;9,859622356;0,140377644;0,373755738;;;;;
316;9,859622356;0,140377644;0,373755738;;;;;
317;9,859622356;0,140377644;0,373755738;;;;;
318;9,859622356;0,140377644;0,373755738;;;;;
319;9,859622356;0,140377644;0,373755738;;;;;
320;9,859622356;0,140377644;0,373755738;;;;;
321;9,859622356;0,140377644;0,373755738;;;;;
322;9,859622356;0,140377644;0,373755738;;;;;
323;9,859622356;0,140377644;0,373755738;;;;;
324;9,859622356;0,140377644;0,373755738;;;;;
325;9,859622356;0,140377644;0,373755738;;;;;
326;9,859622356;0,140377644;0,373755738;;;;;
327;9,859622356;0,140377644;0,373755738;;;;;
328;9,859622356;0,140377644;0,373755738;;;;;
329;9,859622356;0,140377644;0,373755738;;;;;
330;9,859622356;0,140377644;0,373755738;;;;;
331;9,859622356;0,140377644;0,373755738;;;;;
332;9,859622356;0,140377644;0,373755738;;;;;
333;9,859622356;0,140377644;0,373755738;;;;;
334;9,859622356;0,140377644;0,373755738;;;;;
335;9,859622356;0,140377644;0,373755738;;;;;
336;9,859622356;0,140377644;0,373755738;;;;;
337;9,859622356;0,140377644;0,373755738;;;;;
338;9,859622356;0,140377644;0,373755738;;;;;
339;9,859622356;0,140377644;0,373755738;;;;;
340;9,859622356;0,140377644;0,373755738;;;;;
341;9,859622356;0,140377644;0,373755738;;;;;
342;9,859622356;0,140377644;0,373755738;;;;;
343;9,859622356;0,140377644;0,373755738;;;;;
344;9,859622356;0,140377644;0,373755738;;;;;
345;9,859622356;0,140377644;0,373755738;;;;;
346;9,859622356;0,140377644;0,373755738;;;;;
347;9,859622356;0,140377644;0,373755738;;;;;
348;9,859622356;0,140377644;0,373755738;;;;;
349;9,859622356;0,140377644;0,373755738;;;;;
350;9,859622356;0,140377644;0,373755738;;;;;
